Complexity metrics,星期二, 26 三月 2019 00:54:43 CST
Method,ev(G),iv(G),v(G)
"ComputePoly.ComputePoly()",1,1,1
"ComputePoly.combine()",4,4,5
"ComputePoly.compute()",6,14,17
"ComputePoly.judge(String)",3,2,4
"ComputePoly.main(String[])",3,6,8
"ComputePoly.myMatch(String)",1,1,1
"ComputePoly.parsePoly(String)",1,15,16
"ComputePoly.work(Poly)",1,6,6
"Poly.Poly(BigInteger,BigInteger)",1,1,1
"Poly.coeff()",1,1,1
"Poly.degree()",1,1,1
"Poly.diff()",2,1,2

Class,OCavg,WMC
"ComputePoly",6.38,51
"Poly",1.25,5

Package,v(G)avg,v(G)tot
"",5.25,63

Module,v(G)avg,v(G)tot
"HW1final",5.25,63

Project,v(G)avg,v(G)tot
"project",5.25,63

